iter,loss,routing_min,routing_max
0,4.2052,0.0,0.516
1,4.1616,0.0,0.516
2,4.1871,0.0,0.508
3,4.2055,0.0,0.516
4,4.2129,0.0,0.516
5,4.1689,0.0,0.555
6,4.1976,0.0,0.508
7,4.1631,0.0,0.516
8,4.1811,0.0,0.539
9,4.185,0.0,0.539
10,4.1536,0.0,0.508
11,4.1757,0.0,0.547
12,4.2034,0.0,0.516
13,4.1708,0.0,0.562
14,4.2014,0.0,0.547
15,4.1663,0.0,0.539
16,4.1909,0.0,0.508
17,4.1884,0.0,0.547
18,4.205,0.0,0.508
19,4.171,0.0,0.531
20,4.1634,0.0,0.531
21,4.1962,0.0,0.555
22,4.1619,0.0,0.547
23,4.1944,0.0,0.586
24,4.1786,0.0,0.539
25,4.2076,0.0,0.5
26,4.1824,0.0,0.57
27,4.1992,0.0,0.5
28,4.1868,0.0,0.516
29,4.1949,0.0,0.594
30,4.1861,0.0,0.516
31,4.1926,0.0,0.516
32,4.164,0.0,0.539
33,4.183,0.0,0.539
34,4.1531,0.0,0.508
35,4.1967,0.0,0.586
36,4.1923,0.0,0.508
37,4.1796,0.0,0.523
38,4.1455,0.0,0.516
39,4.1627,0.0,0.5
40,4.1477,0.0,0.555
41,4.1538,0.0,0.547
42,4.174,0.0,0.523
43,4.1715,0.0,0.547
44,4.1623,0.0,0.508
45,4.1613,0.0,0.547
46,4.1055,0.0,0.516
47,4.1422,0.0,0.516
48,4.1314,0.0,0.508
49,4.1399,0.0,0.523
50,4.1521,0.0,0.516
51,4.1226,0.0,0.5
52,4.1708,0.0,0.531
53,4.1724,0.0,0.531
54,4.1559,0.0,0.508
55,4.1244,0.0,0.562
56,4.1617,0.0,0.516
57,4.1254,0.0,0.539
58,4.1622,0.0,0.531
59,4.1296,0.0,0.531
60,4.1188,0.0,0.547
61,4.1231,0.0,0.523
62,4.1426,0.0,0.531
63,4.1384,0.0,0.523
64,4.1192,0.0,0.508
65,4.0979,0.0,0.5
66,4.1017,0.0,0.5
67,4.0999,0.0,0.508
68,4.118,0.0,0.539
69,4.1277,0.0,0.508
70,4.1265,0.0,0.516
71,4.1161,0.0,0.562
72,4.0621,0.0,0.5
73,4.0813,0.0,0.523
74,4.0658,0.0,0.5
75,4.0368,0.0,0.547
